BASINID;mouth_lon;mouth_lat
1;-51.75;-1.25
2;31.25;31.25
3;12.75;-5.75
4;-90.25;29.75
5;69.25;66.75
6;-58.75;-34.25
7;82.25;71.25
8;127.25;73.25
9;6.75;4.75
10;-16.25;20.25
11;121.75;31.25
12;140.75;53.25
13;-134.75;69.25
14;90.75;22.75
15;14.25;12.25
16;48.25;46.25
17;36.25;-18.75
18;136.75;-28.75
19;86.25;41.25
20;67.75;24.25
21;-92.75;57.25
22;117.75;49.25
23;61.25;45.75
24;-70.75;47.25
25;-61.25;8.75
26;139.25;-35.25
27;48.25;30.25
28;16.75;-28.25
29;118.25;37.75
30;-164.75;62.75
31;-16.25;16.25
32;9.75;34.25
33;42.25;0.25
34;-114.75;31.75
35;-97.25;25.75
36;29.25;45.25
37;-49.25;-2.25
38;106.25;10.25
39;17.75;16.75
40;-123.75;46.25
41;20.25;30.25
42;23.25;-20.25
43;161.25;69.25
44;59.25;43.75
45;-36.75;-10.25
46;28.75;30.75
47;32.25;46.25
48;51.25;24.75
49;38.75;47.25
50;-62.25;-39.75
51;33.75;-24.75
52;61.25;30.25
53;56.25;18.75
54;113.25;22.25
55;95.25;15.75
56;0.25;5.75
57;53.75;39.75
58;106.25;73.25
59;40.25;64.75
60;-58.25;-33.75
61;85.75;45.75
62;15.75;31.25
63;149.75;71.25
64;53.25;34.25
65;-41.75;-3.25
66;54.25;68.25
67;81.75;16.75
68;-94.25;58.75
69;-90.75;63.25
70;51.75;47.25
71;-23.75;82.75
72;29.25;60.25
73;127.25;-20.25
74;122.25;40.75
75;97.25;16.75
76;35.25;31.75
77;-74.75;10.75
78;80.75;16.25
79;-57.25;-35.75
80;58.75;29.75
81;117.25;39.25
82;120.25;34.25
83;-122.75;49.25
84;100.75;42.25
85;36.25;3.75
86;126.25;-32.25
87;177.75;64.75
88;135.75;71.25
89;119.75;72.75
90;74.25;46.25
91;49.25;39.75
92;139.75;-30.75
93;9.25;-1.25
94;73.75;45.75
95;-50.75;69.25
96;119.25;-20.25
97;91.75;40.25
98;88.75;31.75
99;-62.75;-40.75
100;-65.25;-43.25
101;51.75;23.75
102;47.75;29.75
103;123.25;-17.25
104;-105.25;21.75
105;39.25;-7.75
106;18.75;54.25
107;78.25;67.75
108;106.25;20.25
109;115.75;-31.75
110;5.75;52.75
111;86.75;73.75
112;13.25;-9.25
113;-65.25;-30.25
114;121.75;-19.25
115;133.25;-18.25
116;-10.75;28.25
117;81.25;33.25
118;40.25;-10.75
119;-58.75;6.75
120;-68.25;58.25
121;9.25;53.75
122;11.75;20.25
123;-118.25;39.75
124;88.75;42.75
125;41.75;11.25
126;100.25;13.75
127;86.25;20.25
128;150.75;-23.25
129;95.25;36.75
130;-15.75;18.75
131;10.25;3.75
132;-81.75;52.25
133;68.25;24.25
134;-62.75;-30.75
135;-95.25;29.25
136;98.75;76.25
137;-88.25;30.75
138;48.25;28.25
139;-101.75;18.25
140;147.25;-19.75
141;-95.75;28.75
142;14.25;53.75
143;-2.25;47.25
144;39.75;-3.25
145;-162.25;60.25
146;-80.75;51.75
147;72.75;21.75
148;63.25;28.25
149;-60.25;53.25
150;140.75;-17.75
151;-113.25;41.25
152;35.25;41.25
153;-121.25;37.75
154;-95.75;67.25
155;34.75;-21.25
156;135.25;-14.75
157;129.75;-15.25
158;121.25;-29.25
159;-55.75;73.75
160;16.75;-18.75
161;-4.75;5.25
162;-87.75;56.25
